Planet name,Host star name,Stars in system,Planets in system,Discovery method,Discovery year,Discovery facility,Orbital period (days),Orbit semi-major axis (AU),Planet radius (R_E),Planet radius (R_J),Planet mass (M_E),Planet temperature (K),Stellar spectral class,Stellar temperature (K),Stellar radius (R_sol),Stellar mass (M_sol),Right ascension (deg),Declination (Deg),Stellar distance (pc),Stellar magnitude,releasedate
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,86.64766384,,,,,,,,,,291.2250888,44.9272918,,14.818,2016-07-28
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,86.64763676,0.3529,7.62,0.67981204,,366,,5321,0.858,0.779,291.2250888,44.9272918,,14.818,2015-08-25
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,86.64764448,0.3786,9.4,0.83861327,,419,,5522,1.12,0.963,291.2250888,44.9272918,,14.818,2017-05-08
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,86.647661,0.382,10.54,0.94,460.83,511,G5 V,5520,1.13,0.99,291.2250888,44.9272918,,14.818,2014-06-25
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,86.64774,0.355,7.1,0.63342066,,364,,5311,0.85,0.8,291.2250888,44.9272918,,14.818,2013-10-28
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,86.64763676,0.3529,7.62,0.67981204,,366,,5321,0.858,0.779,291.2250888,44.9272918,,14.818,2014-11-21
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,86.64763676,,7.89,0.70389865,,,,5421,0.89,0.89,291.2250888,44.9272918,,14.818,2016-05-10
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,86.6476789765,,,,,,,,,,291.2250888,44.9272918,,14.818,2019-04-18
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,86.64763676,0.3529,7.62,0.67981204,,366,,5321,0.858,0.779,291.2250888,44.9272918,,14.818,2014-11-18
KOI-1257 b,KOI-1257,2,1,Transit,2014,Kepler,86.64764448,,,,,,,,,,291.2250888,44.9272918,,14.818,2018-09-25
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.7635874737,,,,,,,7986.07,,,286.9713876,46.8682463,519.096,9.791,2019-04-18
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.763587535,0.0386,21.42,1.91096769,,3559,,9107,3.031,2.466,286.9713876,46.8682463,519.096,9.791,2017-05-08
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.763587569,0.0386,25.8,2.30172579,,3560,,9107,3.031,2.466,286.9713876,46.8682463,519.096,9.791,2015-08-25
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.763587619,,,,,,,8848,2.44,1.83,286.9713876,46.8682463,519.096,9.791,2024-03-04
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.763587569,0.0386,25.8,2.30172579,,3560,,9107,3.031,2.466,286.9713876,46.8682463,519.096,9.791,2014-11-18
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.7635892,0.035,20.5,1.8,,3257,,8848,2.44,1.83,286.9713876,46.8682463,519.096,9.791,2014-09-18
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.763588,0.03641,16.948008,1.512,2949.4624,2550,,7650,1.74,1.72,286.9713876,46.8682463,519.096,9.791,2015-10-15
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.76358799,,15.759854,1.406,2070.66245,,,7650,1.71,1.72,286.9713876,46.8682463,519.096,9.791,2015-08-27
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.7637,,,,2923.9,,,7986.07,,,286.9713876,46.8682463,519.096,9.791,2014-09-18
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.763587569,0.0386,25.8,2.30172579,,3560,,9107,3.031,2.466,286.9713876,46.8682463,519.096,9.791,2014-11-21
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.76358757,,,,,,,7986.07,,,286.9713876,46.8682463,519.096,9.791,2016-07-28
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.7635877,0.038,23,2.0519261,,3370,,9071,2.7,2.27,286.9713876,46.8682463,519.096,9.791,2013-10-28
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.763587569,,17.05,1.52109912,,,,8482,2,1.67,286.9713876,46.8682463,519.096,9.791,2016-05-10
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.7635877,0.037,22.77,2.03,,3320,,8848,2.68,,286.9713876,46.8682463,519.096,9.791,2014-09-18
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.763589,,16.197,1.445,,,,8511,1.756,2.05,286.9713876,46.8682463,519.096,9.791,2014-09-18
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.76358803,,,,,,,7986.07,,,286.9713876,46.8682463,519.096,9.791,2018-02-15
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,,,20.85,1.86,2637.88,,,,2.55,2.05,286.9713876,46.8682463,519.096,9.791,2024-07-12
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.763587535,,,,,,,7986.07,,,286.9713876,46.8682463,519.096,9.791,2018-09-25
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,1.7635881,,,,,2608,,7986.1,,,286.9713876,46.8682463,519.096,9.791,2024-11-20
KOI-13 b,KOI-13,3,1,Transit,2011,Kepler,,,17.627,1.57257561,,,,9071,2.494,,286.9713876,46.8682463,519.096,9.791,2018-09-06
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,10.95416,,3.78,0.337,8.7,,,5471,0.88,0.956,291.1481028,40.669413,376.863,13.209,2014-05-14
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,,,3.823,0.34106522,,,,5466,0.906,,291.1481028,40.669413,376.863,13.209,2018-09-06
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,10.916108342,,,,,,,5368.85,0.95577,0.93,291.1481028,40.669413,376.863,13.209,2018-09-25
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,10.916108342,0.098,3.93,0.35061172,,758,,5575,0.932,1.051,291.1481028,40.669413,376.863,13.209,2014-11-18
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,10.916108342,0.098,3.93,0.35061172,,758,,5575,0.932,1.051,291.1481028,40.669413,376.863,13.209,2014-11-21
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,10.91610834,0.0958216883,3.796,0.33865702,11.3568015,,,,,0.985,291.1481028,40.669413,376.863,13.209,2024-02-21
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,10.916108342,0.09586,3.796,0.33865702,,,,5466,0.9,0.985,291.1481028,40.669413,376.863,13.209,2024-12-05
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,10.91647,,3.438,0.30671782,9.5,,,5466,0.897,0.99,291.1481028,40.669413,376.863,13.209,2020-06-04
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,10.95307834,,,,,,,5368.85,0.95577,0.93,291.1481028,40.669413,376.863,13.209,2016-07-28
KOI-142 b,KOI-142,1,3,Transit,2013,Kepler,10.916386,0.098,3.78,0.33722959,,791,,5621,0.997,1.065,291.1481028,40.669413,376.863,13.209,2013-10-28
KOI-142 c,KOI-142,1,3,Transit Timing Variations,2013,Kepler,22.3395,0.15525,,,198.8,,,5471,0.88,0.956,291.1481028,40.669413,376.863,13.209,2014-05-14
KOI-142 c,KOI-142,1,3,Transit Timing Variations,2013,Kepler,22.26492,,,,214.1,,,5466,0.897,0.99,291.1481028,40.669413,376.863,13.209,2020-06-04
KOI-142 c,KOI-142,1,3,Transit Timing Variations,2013,Kepler,22.267161,0.154121003,,,207.714175,,,,,0.985,291.1481028,40.669413,376.863,13.209,2024-02-21
KOI-1599.01,KOI-1599,1,2,Transit,2019,Kepler,20.40857074,,,,,,,5833,1.17992,1.05,298.3738383,40.6184483,1131.64,14.795,2016-07-28
KOI-1599.01,KOI-1599,1,2,Transit,2019,Kepler,20.4071345,0.1473,1.76,0.15701695,,660,,5823,0.972,1.02,298.3738383,40.6184483,1131.64,14.795,2014-11-18
KOI-1599.01,KOI-1599,1,2,Transit,2019,Kepler,20.4071345,0.1473,1.76,0.15701695,,660,,5823,0.972,1.02,298.3738383,40.6184483,1131.64,14.795,2014-11-21
KOI-1599.01,KOI-1599,1,2,Transit,2019,Kepler,20.41724,0.143,1.9,0.16950694,,645,,5760,0.92,0.94,298.3738383,40.6184483,1131.64,14.795,2013-10-28
KOI-1599.01,KOI-1599,1,2,Transit,2019,Kepler,20.4074846,,,,,,,5833,1.17992,1.05,298.3738383,40.6184483,1131.64,14.795,2018-09-25
KOI-1599.01,KOI-1599,1,2,Transit,2019,Kepler,20.4071345,0.1473,1.76,0.15701695,,660,,5823,0.972,1.02,298.3738383,40.6184483,1131.64,14.795,2015-08-25
KOI-1599.01,KOI-1599,1,2,Transit,2019,Kepler,20.4074846,0.1473,2.9,0.25872112,,660,,5823,0.972,1.02,298.3738383,40.6184483,1131.64,14.795,2017-05-08
KOI-1599.01,KOI-1599,1,2,Transit,2019,Kepler,20.4415,0.14728,1.9,0.16950665,4.6,,,,0.972,1.02,298.3738383,40.6184483,1131.64,14.795,2019-05-23
KOI-1599.02,KOI-1599,1,2,Transit,2019,Kepler,13.6164547,,,,,,,5833,1.17992,1.05,298.3738383,40.6184483,1131.64,14.795,2018-09-25
KOI-1599.02,KOI-1599,1,2,Transit,2019,Kepler,13.6164547,0.1125,22.29,1.98858403,,755,,5823,0.972,1.02,298.3738383,40.6184483,1131.64,14.795,2017-05-08
KOI-1599.02,KOI-1599,1,2,Transit,2019,Kepler,13.6141,0.109,1.9,0.16950694,,739,,5760,0.92,0.94,298.3738383,40.6184483,1131.64,14.795,2013-10-28
KOI-1599.02,KOI-1599,1,2,Transit,2019,Kepler,13.6163456,0.1125,64.05,5.7141681,,755,,5823,0.972,1.02,298.3738383,40.6184483,1131.64,14.795,2014-11-18
KOI-1599.02,KOI-1599,1,2,Transit,2019,Kepler,13.6163456,0.1125,64.05,5.7141681,,755,,5823,0.972,1.02,298.3738383,40.6184483,1131.64,14.795,2014-11-21
KOI-1599.02,KOI-1599,1,2,Transit,2019,Kepler,13.6088,0.112293,1.9,0.16950665,9,,,,0.972,1.02,298.3738383,40.6184483,1131.64,14.795,2019-05-23
KOI-1599.02,KOI-1599,1,2,Transit,2019,Kepler,13.6163456,0.1125,64.05,5.7141681,,755,,5823,0.972,1.02,298.3738383,40.6184483,1131.64,14.795,2015-08-25
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,134.4628,,8.86,0.79043626,71,,,5922,1.143,1.076,289.3414629,46.988155,865.73,13.978,2020-05-07
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,134.47850876,,,,,,,5995,1.18463,1.1,289.3414629,46.988155,865.73,13.978,2016-07-28
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,134.4785189,0.5135,10.52,0.93853315,,412,,5791,1.336,0.996,289.3414629,46.988155,865.73,13.978,2017-05-08
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,134.4786723,0.5187,7.5,0.66910634,,372,,6215,0.957,1.027,289.3414629,46.988155,865.73,13.978,2015-08-25
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,134.4786723,0.5187,7.5,0.66910634,,372,,6215,0.957,1.027,289.3414629,46.988155,865.73,13.978,2014-11-18
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,134.47972,0.533,8.5,0.75832051,,382,,6235,1.03,1.115,289.3414629,46.988155,865.73,13.978,2013-10-28
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,134.4785189,,,,,,,5995,1.18463,1.1,289.3414629,46.988155,865.73,13.978,2018-09-25
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,134.4786723,0.52661,8.954,0.79882375,,,,5923,1.143,1.076,289.3414629,46.988155,865.73,13.978,2024-12-05
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,134.4786723,0.5187,7.5,0.66910634,,372,,6215,0.957,1.027,289.3414629,46.988155,865.73,13.978,2014-11-21
KOI-1783.01,KOI-1783,1,2,Transit,2020,Kepler,134.47852,,,,283,,,,1.138,1.076,289.3414629,46.988155,865.73,13.978,2025-04-16
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,284.0631,,,,2.23203,,,,1.138,1.076,289.3414629,46.988155,865.73,13.978,2025-04-16
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,284.0423,0.877,5.2,0.46391373,,298,,6235,1.03,1.115,289.3414629,46.988155,865.73,13.978,2013-10-28
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,284.060953,0.8539,4.4,0.39254238,,290,,6215,0.957,1.027,289.3414629,46.988155,865.73,13.978,2014-11-18
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,284.063137,0.8453,6.36,0.56740217,,321,,5791,1.336,0.996,289.3414629,46.988155,865.73,13.978,2017-05-08
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,284.060953,0.8539,4.4,0.39254238,,290,,6215,0.957,1.027,289.3414629,46.988155,865.73,13.978,2014-11-21
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,284.07309817,,,,,,,5995,1.18463,1.1,289.3414629,46.988155,865.73,13.978,2016-07-28
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,284.060953,0.86695,5.253,0.46864208,,,,5923,1.143,1.076,289.3414629,46.988155,865.73,13.978,2024-12-05
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,284.063137,,,,,,,5995,1.18463,1.1,289.3414629,46.988155,865.73,13.978,2018-09-25
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,284.060953,0.8539,4.4,0.39254238,,290,,6215,0.957,1.027,289.3414629,46.988155,865.73,13.978,2015-08-25
KOI-1783.02,KOI-1783,1,2,Transit,2020,Kepler,284.215,,5.44,0.48532429,15,,,5922,1.143,1.076,289.3414629,46.988155,865.73,13.978,2020-05-07
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.2069395,0.199,1.13,0.10081202,,474,,5355,0.803,0.901,286.4714473,49.6490933,501.574,14.222,2015-08-25
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.205785079,0.1949,1.1,0.0981356,,471,,5191,0.826,0.844,286.4714473,49.6490933,501.574,14.222,2017-05-08
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.2069395,0.199,1.13,0.10081202,,474,,5355,0.803,0.901,286.4714473,49.6490933,501.574,14.222,2014-11-18
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.2069395,0.199,1.13,0.10081202,,474,,5355,0.803,0.901,286.4714473,49.6490933,501.574,14.222,2014-11-21
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.205785079,,,,,,,5214,0.859378,0.89,286.4714473,49.6490933,501.574,14.222,2018-09-25
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.2069395,0.19924,1.175,0.10482666,,,,5233,0.835,0.901,286.4714473,49.6490933,501.574,14.222,2024-12-05
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.2069,0.196,1.3,0.11597843,,459,,5319,0.75,0.85,286.4714473,49.6490933,501.574,14.222,2013-10-28
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.205785,,,,1.26,,,,0.836,0.901,286.4714473,49.6490933,501.574,14.222,2025-04-16
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.19311054,,,,,,,5214,0.859378,0.89,286.4714473,49.6490933,501.574,14.222,2016-07-28
KOI-1831 d,Kepler-324,1,4,Transit,2021,Kepler,34.169,,1.13,0.10081202,2.23,475,,5233,0.835,0.901,286.4714473,49.6490933,501.574,14.222,2021-06-11
KOI-1833 d,Kepler-968,1,3,Transit,2021,Kepler,7.684334874,0.0632,1.95,0.17396765,,586,,4397,0.577,0.568,285.6025889,50.1120401,290.324,14.626,2015-08-25
KOI-1833 d,Kepler-968,1,3,Transit,2021,Kepler,7.68433346,0.0634,2.58,0.23017258,,583,,4402,0.572,0.575,285.6025889,50.1120401,290.324,14.626,2017-05-08
KOI-1833 d,Kepler-968,1,3,Transit,2021,Kepler,7.68433241,,,,,,,4442,0.701769,0.696,285.6025889,50.1120401,290.324,14.626,2016-07-28
KOI-1833 d,Kepler-968,1,3,Transit,2021,Kepler,7.68433346,,,,,,,4442,0.701769,0.696,285.6025889,50.1120401,290.324,14.626,2018-09-25
KOI-1833 d,Kepler-968,1,3,Transit,2021,Kepler,7.685,,2.58,0.23017258,11.02,613,,4413,0.667,0.681,285.6025889,50.1120401,290.324,14.626,2021-06-11
KOI-1833 d,Kepler-968,1,3,Transit,2021,Kepler,7.684334874,0.0632,1.95,0.17396765,,586,,4397,0.577,0.568,285.6025889,50.1120401,290.324,14.626,2014-11-21
KOI-1833 d,Kepler-968,1,3,Transit,2021,Kepler,7.684334874,0.0632,1.95,0.17396765,,586,,4397,0.577,0.568,285.6025889,50.1120401,290.324,14.626,2014-11-18
KOI-1843.03,Kepler-974,1,2,Transit,2013,Kepler,0.176893,0.005,0.63,0.05620493,,1654,,3673,0.52,,285.0131082,40.2209547,134.311,15.295,2025-03-08
KOI-1843.03,Kepler-974,1,2,Transit,2013,Kepler,0.1768913,,0.61,0.05442065,8,,,3584,0.45,0.46,285.0131082,40.2209547,134.311,15.295,2025-03-08
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,,,12.505,1.11562138,,,,5545,0.868,,294.8654667,46.2858128,914.699,15.257,2018-09-06
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.9050823997,,,,,,,5381,0.947475,0.93,294.8654667,46.2858128,914.699,15.257,2019-04-18
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.905081685,0.0485,12.78,1.1401572,,1046,,5543,0.887,0.997,294.8654667,46.2858128,914.699,15.257,2017-05-08
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.90512604052,,14.54994306,1.29806121,,1061.59,,5381,0.947475,,294.8654667,46.2858128,914.699,15.257,2023-03-28
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.905081985,0.0485,13.14,1.1722743,,1046,,5543,0.887,0.997,294.8654667,46.2858128,914.699,15.257,2014-11-21
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.90512,0.0477,12.442,1.11,,,,5545,0.86,0.95,294.8654667,46.2858128,914.699,15.257,2014-05-14
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.90508194,,,,,,,5381,0.947475,0.93,294.8654667,46.2858128,914.699,15.257,2016-07-28
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.905081685,,,,,,,5381,0.947475,0.93,294.8654667,46.2858128,914.699,15.257,2018-09-25
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.905081,0.047,11.7,1.04380588,,1028,,5595,0.82,0.923,294.8654667,46.2858128,914.699,15.257,2013-10-28
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.905081985,,13.08,1.16691944,,,,5525,0.88,0.97,294.8654667,46.2858128,914.699,15.257,2016-05-10
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.905081985,0.0485,13.14,1.1722743,,1046,,5543,0.887,0.997,294.8654667,46.2858128,914.699,15.257,2015-08-25
KOI-217 b,KOI-217,1,1,Transit,2010,Kepler,3.905081985,0.0485,13.14,1.1722743,,1046,,5543,0.887,0.997,294.8654667,46.2858128,914.699,15.257,2014-11-18
KOI-2513.01,KOI-2513,1,1,Transit,2023,Kepler,19.00537199,0.1412,103.23,9.2095796,,758,,6347,1.036,1.032,293.6688776,46.3792321,1369.87,14.913,2014-11-18
KOI-2513.01,KOI-2513,1,1,Transit,2023,Kepler,19.00535884,,,,,,,5799.62,,,293.6688776,46.3792321,1369.87,14.913,2016-07-28
KOI-2513.01,KOI-2513,1,1,Transit,2023,Kepler,19.0054098,0.1412,28.47,2.53992765,,758,,6347,1.036,1.032,293.6688776,46.3792321,1369.87,14.913,2017-05-08
KOI-2513.01,KOI-2513,1,1,Transit,2023,Kepler,19.00545,0.146,12.6,1.12409864,,771,,6362,1.1,1.16,293.6688776,46.3792321,1369.87,14.913,2013-10-28
KOI-2513.01,KOI-2513,1,1,Transit,2023,Kepler,19.00537199,0.1412,103.23,9.2095796,,758,,6347,1.036,1.032,293.6688776,46.3792321,1369.87,14.913,2014-11-21
KOI-2513.01,KOI-2513,1,1,Transit,2023,Kepler,19.00537199,0.1412,103.23,9.2095796,,758,,6347,1.036,1.032,293.6688776,46.3792321,1369.87,14.913,2015-08-25
KOI-2513.01,KOI-2513,1,1,Transit,2023,Kepler,19.0054098,,,,,,,5799.62,,,293.6688776,46.3792321,1369.87,14.913,2018-09-25
KOI-2513.01,KOI-2513,1,1,Transit,2023,Kepler,19.00547,0.5,2.80224517,0.25,7310.053361,,,5900,1.2,0.91,293.6688776,46.3792321,1369.87,14.913,2024-04-15
KOI-3503 b,KOI-3503,1,2,Transit,2021,Kepler,21.1876185,,,,,,,5997.65,1.30833,1.11,293.1507654,41.7291532,887.064,13.831,2018-09-25
KOI-3503 b,KOI-3503,1,2,Transit,2021,Kepler,21.1875846,0.1457,0.77,0.06869492,,674,,6338,0.847,0.918,293.1507654,41.7291532,887.064,13.831,2014-11-18
KOI-3503 b,KOI-3503,1,2,Transit,2021,Kepler,21.1875846,0.14247,1.142,0.10188259,,,,6001,1.255,0.858,293.1507654,41.7291532,887.064,13.831,2024-12-05
KOI-3503 b,KOI-3503,1,2,Transit,2021,Kepler,21.1875846,0.1457,0.77,0.06869492,,674,,6338,0.847,0.918,293.1507654,41.7291532,887.064,13.831,2015-08-25
KOI-3503 b,KOI-3503,1,2,Transit,2021,Kepler,21.1876185,0.1462,0.79,0.0704792,,676,,6355,0.849,0.925,293.1507654,41.7291532,887.064,13.831,2017-05-08
KOI-3503 b,KOI-3503,1,2,Transit,2021,Kepler,21.1875846,0.1457,0.77,0.06869492,,674,,6338,0.847,0.918,293.1507654,41.7291532,887.064,13.831,2014-11-21
KOI-3503 b,KOI-3503,1,2,Transit,2021,Kepler,21.185,,1.19,0.10616487,9.2,785,,6001,1.255,0.858,293.1507654,41.7291532,887.064,13.831,2021-06-11
KOI-3503 c,KOI-3503,1,2,Transit,2021,Kepler,31.8245304,0.18688,1.185,0.1057188,,,,6001,1.255,0.858,293.1507654,41.7291532,887.064,13.831,2024-12-05
KOI-3503 c,KOI-3503,1,2,Transit,2021,Kepler,31.828,,1.21,0.10794916,10.36,686,,6001,1.255,0.858,293.1507654,41.7291532,887.064,13.831,2021-06-11
KOI-3503 c,KOI-3503,1,2,Transit,2021,Kepler,31.8245304,0.1911,0.8,0.07137134,,589,,6338,0.847,0.918,293.1507654,41.7291532,887.064,13.831,2014-11-21
KOI-3503 c,KOI-3503,1,2,Transit,2021,Kepler,31.8245304,,,,,,,5997.65,1.30833,1.11,293.1507654,41.7291532,887.064,13.831,2018-09-25
KOI-3503 c,KOI-3503,1,2,Transit,2021,Kepler,31.8245304,0.1911,0.8,0.07137134,,589,,6338,0.847,0.918,293.1507654,41.7291532,887.064,13.831,2015-08-25
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,7.00828076,0.0742,1.3,0.11597843,,,,6015,1.185,1.108,284.4334642,49.3051239,848.254,13.883,2024-12-05
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,,,1.302,0.11615666,,,,6015,1.211,,284.4334642,49.3051239,848.254,13.883,2018-09-06
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,7.00828076,0.0709,1.15,0.1025963,,1061,,6238,1.054,0.967,284.4334642,49.3051239,848.254,13.883,2014-11-18
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,7.0082349838,,,,,,,6031.13,1.24773,1.12,284.4334642,49.3051239,848.254,13.883,2019-04-18
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,7.00828076,0.0709,1.15,0.1025963,,1061,,6238,1.054,0.967,284.4334642,49.3051239,848.254,13.883,2014-11-21
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,7.00828076,0.0741641627,1.3,0.11597843,,,,,,1.108,284.4334642,49.3051239,848.254,13.883,2024-02-21
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,7.00821787,,,,,,,6031.13,1.24773,1.12,284.4334642,49.3051239,848.254,13.883,2018-09-25
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,7.008151,0.074,1.31,0.117,,,,6080,1.2,1.2,284.4334642,49.3051239,848.254,13.883,2014-05-14
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,7.00821787,0.0738,1.29,0.11508629,,1062,,5970,1.2,1.089,284.4334642,49.3051239,848.254,13.883,2017-05-08
KOI-351 b,KOI-351,1,8,Transit,2013,Kepler,7.008233,0.075,1.16,0.10348845,,1056,,6330,1.07,1.14,284.4334642,49.3051239,848.254,13.883,2013-10-28
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,8.71982853,0.0821,1.29,0.11508629,,986,,6238,1.054,0.967,284.4334642,49.3051239,848.254,13.883,2014-11-21
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,8.719375,0.089,1.19,0.106,,,,6080,1.2,1.2,284.4334642,49.3051239,848.254,13.883,2014-05-14
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,,,1.544,0.13774645,,,,6015,1.211,,284.4334642,49.3051239,848.254,13.883,2018-09-06
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,8.719759151,,,,,,,6031.13,1.24773,1.12,284.4334642,49.3051239,848.254,13.883,2019-04-18
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,8.71980135,,,,,,,6031.13,1.24773,1.12,284.4334642,49.3051239,848.254,13.883,2018-09-25
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,8.71982853,0.0821,1.29,0.11508629,,986,,6238,1.054,0.967,284.4334642,49.3051239,848.254,13.883,2014-11-18
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,8.71982853,0.0857942931,1.445,0.12891449,,,,,,1.108,284.4334642,49.3051239,848.254,13.883,2024-02-21
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,8.71980135,0.0854,1.53,0.13649769,,987,,5970,1.2,1.089,284.4334642,49.3051239,848.254,13.883,2017-05-08
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,8.71982853,0.08582,1.445,0.12891449,,,,6015,1.185,1.108,284.4334642,49.3051239,848.254,13.883,2024-12-05
KOI-351 c,KOI-351,1,8,Transit,2013,Kepler,8.71989,0.087,1.36,0.12133128,,981,,6330,1.07,1.14,284.4334642,49.3051239,848.254,13.883,2013-10-28
KOI-351 d,KOI-351,1,8,Transit,2013,Kepler,59.7370348,0.296,2.55,0.22749615,,519,,6238,1.054,0.967,284.4334642,49.3051239,848.254,13.883,2014-11-18
KOI-351 d,KOI-351,1,8,Transit,2013,Kepler,59.7371443,0.308,2.84,0.25336827,,520,,5970,1.2,1.089,284.4334642,49.3051239,848.254,13.883,2017-05-08
KOI-351 d,KOI-351,1,8,Transit,2013,Kepler,,,2.866,0.25568739,,,,6015,1.211,,284.4334642,49.3051239,848.254,13.883,2018-09-06
KOI-351 d,KOI-351,1,8,Transit,2013,Kepler,59.7367918985,,,,,,,6031.13,1.24773,1.12,284.4334642,49.3051239,848.254,13.883,2019-04-18
KOI-351 d,KOI-351,1,8,Transit,2013,Kepler,59.73716,0.312,2.5,0.22303545,,518,,6330,1.07,1.14,284.4334642,49.3051239,848.254,13.883,2013-10-28
